Name	Time	Comment
The World is a Stage	2021-11-30T05:16:31Z	I agree to a point in regard to essentially making Bukhari and Sahih Muslim etc, as some sacred books with no flaws (which is humanely impossible to think there is no flaws in these books - hence after all there made/“memorized” by humans) but to generalize all hadith under this blanket of falsehood is nonsensical - for instance muttawatir hadiths came to us in the same way the Quran did - hence passed down and memorized by many many people - like do you pray 5 times a day, how do you pray etc.? which are mostly from not just “sahih” but Muttawatir hadiths After all, I like your theory and you use some good points but much of it is STILL conjecture at the end of the day - likes you maybe 1000% correct but you also may be misguided on a fee points because none of us can understand Arabic as those over a thousand years ago
Moyassar Meshhal	2021-11-30T01:46:23Z	"Subhan Allah! All of this nonsense only convinces those who do not know the Arabic language, no need to mention the other Islamic sciences. At the beginning, I thought that there is something worth to be discussed here, but after watching the entire video I realized that your countless number of mistakes actually came from imposing your own thoughts on Quran interpretation! In fact, I can not call what you have said here is a wrong interpretation/translation! It is a real corruption and Altering the meaning of Quran. I'll give my brothers and sisters here only a few examples just to think (because it needs tens of pages to respond to all the claims, which is obviously not possible here) : 1. He translated the word عن in the verse ""ففسق عن أمر ربه"" as in accordance with (or because of) and he claimed that it agrees with what sheikh 3udaimah said in the book ""Dirassaat"". Where on earth did you find any scholar translate a preposition (حرف الجر) by itself without a context?! By the way, I urge you all my brothers and sister, if you know Arabic, to look at the reference that he mentioned and see how he misused the work of Sheikh 3udaimah (My Allah give mercy on him). You will never find any of his claims there! In fact, Sheikh 3udaimah mentioned many meanings of the preposition ""عن"" depending on the context. And when you reflect on all of those meanings you will realize that ""Dirassaat"" does not support his claims by any mean. One more fun fact is that Sheikh 3udaimah actually built his entire work ""Dirassaat"" on the sayings of the scholars ""علماء"" that Dr. Hany claims that they were deceived by there own Iblees. Lol! 2. In the translation of the verse 1 of surah 4 (النساء), he imposed the word ""archetypes"" in his translation ""... and from their archetypes ..."" which is not their! The verse says ""منهما"" which means ""... from them ..."". He showed that as it is there, while it is actually his own insertion! 3. He claims that name/word ""Adam"" refers to prophet Mohamed (PBUH) without providing any proper evidence, except his own delusions! And a final question to you: Why all the accusations that you accused scholars, tabe3en, mofasreen ...etc do not apply to you instead of them?!"
Uni dhe Haruni	2021-11-29T21:13:46Z	As always; the most correct interpretation is that which is the most rational. I always had the view that Iblis is a faculty of the human psyche. It's very encouraging to see more evidence from the Qur'an regarding this view.
Nad Khan	2021-11-29T02:03:19Z	Devil Iblis Satan Lucifer the same thing. God Ellohim Ellah Allah Heavenly Father all the same principles
Azhar Aziz	2021-11-27T08:33:57Z	Allah commanded, but also has given iblees the freewill to follow or not to follow, thus the persecution for the arrogance of iblees. It was NOT the command to not follow.
NS Jugbhery	2021-11-26T20:16:22Z	Points to Ponder: 4:1 (Nafsin Wahidatin) single helix DNA, it gets into pair (2:34, 2:35) (Zawj, zawjatun) double helix DNA also referred as noble pair in Quran, from which all living creations and Humankind (Adam) are made from. Iblees are in DNA code as Zawj, Dr. Hany's descriptions explaining Bashar, inns/Inssan, Iblees, Muttaqun and Abrar similitude of genetical evolutions of human consciousness.
M Chibwana Abdullah	2021-11-26T18:56:49Z	As salaam alaikum Dr Can you explain about these verses وإذ صرفنا إليك نفر من الجن And وأنا من الصالحون ومنا دون ذلك سورة جن And وَيَوْمَ يَحْشُرُهُمْ جَمِيعًا يَا مَعْشَرَ الْجِنِّ قَدِ اسْتَكْثَرْتُمْ مِنَ الْإِنْسِ وَقَالَ أَوْلِيَاؤُهُمْ مِنَ الْإِنْسِ رَبَّنَا اسْتَمْتَعَ بَعْضُنَا بِبَعْضٍ وَبَلَغْنَا أَجَلَنَا الَّذِي أَجَّلْتَ لَنَا قَالَ النَّارُ مَثْوَاكُمْ خَالِدِينَ فِيهَا إِلَّا مَا شَاءَ اللَّهُ إِنَّ رَبَّكَ حَكِيمٌ عَلِيمٌ are they not indicating that jinns are separate creature?
Mak Job	2021-11-25T22:46:31Z	Doctor Hany why dont you write a translation of the Holy Qur'an?
kamran mahmood	2021-11-25T09:10:59Z	Brother please can you tell about Allahuma what shall we pray in droodeibrahimi
Samama Fahim	2021-11-24T20:25:16Z	"Surely Satan is not something abstract. And he will be punished on the day of judgement as the Koran says: (Quran 14:22) After the matter has been finally decided Satan will say: ""Surely whatever Allah promised you was true; as for me, I went back on the promise I made to you.30 I had no power over you except that I called you to my way and you responded to me.31 So, do not blame me but blame yourselves. Here, neither I can come to your RESCUE, NOR CAN YOU COME TO MINE. I disavow your former act of associating me in the past with Allah.32 A grievous chastisement inevitably lies ahead for such wrong-doers."""
Yusuf Ismath	2021-11-24T12:15:02Z	*Dr Hany is a GREAT IBLIS* 🤪🥶😁🤪🥶😓🤪🥶😓👍🥶😁
TheShakil Haider	2021-11-24T10:22:12Z	Jazakallah god.bless. you
Paket Wisata Samalona Kodingareng Makassar	2021-11-24T07:34:09Z	Dr Hany, Would you please give us a more relevant meaning of surah 6 ( Al An'am ) verses 9. I believe something ( may be ) hidden in it . Thank you so much.
7Earths	2021-11-24T02:19:31Z	Are 'theatrical conversations' with Iblees, only your opinion? Or does the Qur'an prove it to be so with internal evidence?
K B	2021-11-23T13:29:34Z	Salamoun alaykoum Dr Hany, I was wondering, if Iblees is part of us, so why he asks God to reprieve him from yawm al deen until the day they are resurected? Surah 38.79 but also in surah 15. I mean Iblees is supposedly to be the bad part of us, so after death and between yawm al deen and day of resurection this bad part shall disappear? Why does he need an extension of Time?
Manuel Cardinali	2021-11-23T08:40:58Z	where are these tafasir coming from? This goes against the speech of the Prophet ﷺ and the Ijma' of the muslims
Shuaib Samad Ali	2021-11-23T07:19:32Z	Dr Hany, So, does all this confirms that the Iblees has no FREEWILL???
kazungu Karisa	2021-11-23T02:30:34Z	MaashaAllah
semakula atibu	2021-11-22T11:54:23Z	Doctor hany the promise your talking is true.ihave never got this satisfaction and happiness in ma life.barakallahafikum.Allah bless you with good life.
adhi saputra	2021-11-20T05:55:14Z	Aslm..subttittle on indonesian dialeq please...
Mohamed Firdaus Khan	2021-11-19T11:30:50Z	dont curse iblees? May Allah protect everyone from this fithnah.
Arsala Khan	2021-11-19T09:03:24Z	Zionists, Paulines and RSShit are documented followers of Iblees as evidenced in ancient and modern scriptures
Semra Calik	2021-11-18T17:06:04Z	Thank you for this video 🙏 May Allah bless you !
Semra Calik	2021-11-18T16:45:18Z	Selam , what about the protection sura ‘s Nas and Felaq “…
Semra Calik	2021-11-18T15:40:51Z	Selam, what is “right righteousness “ then. What should we do for it?🙏
Semra Calik	2021-11-18T14:41:34Z	Selam Dr, I don t understand that we must me grateful (Allah forgive me) but it is so strange that Allah allows iblees to harm us and than He gives us the Quran and warns us against him. And the hole purpose of oud life is to fight against iblees… l Find it very descouraging and very “useless” … please can l get an answer 🙏🙏🙏
Semra Calik	2021-11-18T14:27:38Z	Selam, “communicate with Allah properly” what does that mean in a very specific way? 🙏
momo	2021-11-18T13:41:02Z	Salaam my dear brothers in Islam, I wanted to know where the word Ameen comes from? Why we say it after Al-Fatiha ?
Semra Calik	2021-11-18T10:18:07Z	Selam, siratel mustaqim is the path of Selfcorrection you said. I Hear this the first time. Can l get more explanation and the translation of sura al Fatiha 🙏
Semra Calik	2021-11-18T09:53:33Z	If you say : nothing happens without permission of Allah, this implicates that Allah gives permission for rapes, murders… “permission “ is this the right word/ thinking🙏
Mohamed Irfan Sheikh	2021-11-18T04:45:53Z	Now Hadith is corrupted. How to Communicate with ALLAH. Tell me that.
Mohamed Irfan Sheikh	2021-11-18T04:27:34Z	Tell me the methodology to pay my rent and my bills using Quran. I m interested in this only. Then everything else.
Mohamed Irfan Sheikh	2021-11-18T04:22:34Z	Now who will pay my rent and my bills?
AR	2021-11-18T04:03:13Z	Assalamualikum, i was watching the Ya' juj Ma'juj before this. You were saying Muhammad s.a.w revealed the truth to the Jews about their own scriptures, and asked them to spread it to their own community. But in this video you're saying all the previous scriptures is invalid after the Al-Quran was revealed. So those Jews were misguided still after it was revealed by Muhammad s.a.w on how to use thier own scriptures? I hope you can clarfiy. Thanks.
Rizwan Safdar	2021-11-18T02:49:59Z	Shame on you Dr. (i.e. Deviated Rooh) Iblees!!! May Allah ( SWT) open your 👀 🥺 and grant you true wisdom 🙏
ISKANDAR KHAN TM	2021-11-17T13:53:31Z	Iblis is an integral part of the human psyche. Its akin to the Nafs/Ego Its like a wild horse but possible to tame If Iblis = Nafs/Ego then Qarin = Companion makes sense. Iblis = Qarin Iblis is Ego/Nafs/Self/companion/Qarin that is integral in every human psyche including the body, mind, heart,soul,spirit that needs to be controlled and tamed.
Mohamedsaid Amazigh	2021-11-17T07:32:09Z	Question: verse 55:15. He created the jinn from a smokeless fire... could you translate please. dear dr Hany, it is been a while since i watched this segment. I can not recall you discussing this. It kept me awake this night. I will watch the whole segment again soon insallah. Looking forward to your lectures on salat.
ggs shaikh	2021-11-17T05:11:57Z	how you will explain ayat 30:21وَمِن ءايٰتِهِ أَن خَلَقَ لَكُم مِن أَنفُسِكُم أَزوٰجًا لِتَسكُنوا إِلَيها وَجَعَلَ بَينَكُم مَوَدَّةً وَرَحمَةً إِنَّ فى ذٰلِكَ لَـٔايٰتٍ لِقَومٍ يَتَفَكَّرونَ
abrahamfofana	2021-11-16T19:17:34Z	Is the lecturer insinuating that Allah gives Ibliss the task to mislead mankind??? That’s what I’getting from him.
abrahamfofana	2021-11-16T19:13:01Z	I find the lecturer problematic in many level. Be aware of whom you listen to. Some truth and some misleading comments and over explanation b distorting the truth. The Quran is simple to understand.
Sahel Ahmed	2021-11-16T13:07:08Z	Sorry to say I find it very irritating to the whole of your methodology.I am confused why not all other world famous schoolers not talking anything about it.You are giving so much credit to IBLIS while Allah said he is our clear enemy.By the way I remember one of your video You said This is not arobic word at all.Allah said in sura yusuf That I send down this quran in arobic language so that you may undrestand better.However you said there is no dream what so ever.Allah knows best.My point is This is to much Fitnah My brother.Your logic is not fitting.Therefore I dont know you maybe the one making confused people then you will divided muslim into diffrent part. Zajakallah I have finished watching your video.And I will not watch again InsaAllah.
Maalim Hussein Hussein Abdi	2021-11-14T22:42:27Z	Thanks Dr but what surprises me is All the angels were told to prostrate Adam so according to ur explanation Iblis is not suppose to bcoz he is not an angel.
Abc Xyz	2021-11-14T08:19:43Z	Ahmed Tauqeer india. Masha Allaha subhaan Allaha Allaha blessings All muslims fee Amanillah shukrun sir
Selma Lamour Love	2021-11-13T21:07:28Z	How do you explain the verse in the Quran where it says “..and “they”see you from where you can’t see them” referring to jinn and shayateen. Also, I highly recommend you do research on psychedelics and how people who have used them had identical visions of entities. Intelligent entities that exist in other dimensions or worlds. Allah is The Lord of the Worlds..all worlds and dimensions and he gave us a sneak peak in the Quran about them..
Zero Celsius	2021-11-13T06:43:51Z	#1...Allah subhana wa ta ala orders us to read the earlier scriptures. Those scriptures have already told you who IBLEES/SATAN is. That said...JINN is a person (Human): Quran Surah 6 (Al-An-am) Ayah 130…They had the same HUMAN opportunities to see and obey the prophets; and they have SOULS Surah 72 (Al-jinn) ayah 6...PERSONS among JINN…not GHOSTS Surah 18 (Al-Kahf) ayats 50 & 51...JINN has human offspring Surah 41 (Fussilat) ayah 25...built nations Surah Al-Isra (Ch. 17) ayah 64…On horses and foot and sharing THEIR wealth & CHILDREN Surah Al-A'raf (Ch. 7) ayah 179…they have EYES, EARS & HEARTS
Muhibur Rahman	2021-11-13T05:12:42Z	Very informative ! However my question is why didn't Allah Subhanataala just killed Iblis right there and then when he didn't obey him? Why is he so important to Allah ?
Sondy Byrsat	2021-11-11T13:55:54Z	Koran is man made
hash7373	2021-11-10T16:57:21Z	👍
Abdirashid Lohos	2021-11-10T15:57:47Z	maashaa allah
Yusuf Polod	2021-11-09T19:04:19Z	"CONGRATULATION FOR #MAR ELOUS# CHANNEL THAT'S VIDEO IS GOOD INFO FOR *""PUBLIC""* & DAKWAH #ISLAMIAH#, ALHAMDULILLAH! BUT MY SUGGESSTIONS IS PLEASE INCLUDES SUBTITLE IN BAHASA >>> MALAYSIA <<< THAT'S ALL T.Q. ASSALAMUALAIKUM WRH WBT."
imam basit	2021-11-09T11:34:52Z	Salaamoon Alaykum Dr, If we are created from the same Nafs(i.e same way) with our Zawj iblees, how come he was created from fire and we are created from clay? This contradicts my grasps please could you clarify? Thanks.
exhale inhale	2021-11-09T11:13:12Z	Salaamun Alaykum Dr Hany, Please I need clarification on shajarah instances. Here in (2:35), w.r.t Musa in (28:30) and in the case of shajarah growing on Younus as you said it's a gourd. Please clarify. Thanks so much sir.
deug rek	2021-11-09T11:08:13Z	وَمَا خَلَقْتُ الْجِنَّ وَالْإِنْسَ إِلَّا لِيَعْبُدُونِ Sherali: And I have not created the jinn and the men but that they may worship ME.
Knowledge Is Treasure	2021-11-08T16:25:38Z	Excellent video Dr Hany. Can you briefly explain this verse please which I am confused about: O mankind, fear your Lord, who created you from one soul and created from it its mate and dispersed from both of them many men and women (Qur'an 4:1) Is that as the traditionalists say the God created one man and woman and then they had children who committed incest and that's how humanity grew?
Super Mario 4	2021-11-08T13:17:12Z	While I commend the team for a great work done, I will like to ask the following; 1.So if the tafaasir we are familiar with are full of fables,what has Azhar university opinion versus yours? 2.In suura jin,who were the group that listen to the kuran,humans? 3.In the same suura,who are been pelted with flames.
Samih AlBusaidi	2021-11-08T07:39:19Z	If the Iblees was not created by fire so what was the ingredients for his creation
Atif Bangash	2021-11-07T12:46:01Z	Your explanation of Satan is in alignment with the explanation of the Satan given in the dead sea scrolls. May Allah keep us guided and help us with strength to navigated away from this adversaries tactics.
indian rational	2021-11-07T11:01:18Z	"quran 72:1 Sahih International: Say, [O Muhammad], ""It has been revealed to me that a group of the jinn listened and said, 'Indeed, we have heard an amazing Qur'an. Quran 51:56 I did not create the Jinns and the human beings except for the purpose that they should worship Me. How do we explain above verses."
xGen720	2021-11-07T00:08:44Z	Is this salafi school interpretation or even newer than salafi?
Fuad Abdul Latif	2021-11-07T00:01:11Z	Then who was the iblis as instructed by Allah to go and meet Rasulullah ﷺ and expose his ways of tempting people? Thus we the ummah of Rasullullah ﷺ knows iblis's secret.. والله اعلم..
EM	2021-11-06T18:01:44Z	"Maybe this video is too much for me to take in, so please be patient, and no personal attacks. When we talk about relearning the Quran, we are talking about relearning and redefining the meaning of words. If we lookup the meaning of words such as 'shajarah', we get different meaning (than what's shown in video). Lookup the meaning of the word 'Zaujuk', you'll get different meaning (compared to what's shown in video). How do we know which one is the correct one ? And, if we are redefining the meaning of words, are we really learning the Quran, or are we trying to keep religion relevant in the times when it is being forgotten ? @ 2:18:40 ""I really appreciate your patience and perseverance"" I don't have enough words to thank you for this insight. Keep spreading the light. Thank you."
Fahd Abdul Rahman	2021-11-06T16:46:24Z	dr hany is it a good idea to share this with atheist ex muslims?
Athar Basit	2021-11-06T08:56:31Z	Q. why is Rooh alQuds, is in singular, and Angles in plural, meaning many angles but only One spirit and that only Rooh al Quds.
Hawa Akimanimpaye	2021-11-05T13:56:51Z	Assalam Aleikum Warahmatulullah Wabarakat everyone , please help me understand , Adam ( a s ) never have a wife ? May Almighty Allah grant us knowledge and a good understanding of our purpose in this life , Allahuma Amiina 🙏
gazza mc	2021-11-04T12:59:45Z	Is Ibless responsible for this poor video?
Fofana Mam	2021-11-04T12:44:41Z	DR. Hany you are from different planet in explaining the Quran. Your explanation just makes sens to me. May ALLAH increases your quranic knowledge.
Zil Q. Jaigirdar	2021-11-04T05:39:36Z	Salamun Alaikum, Just want to clarify one aspect, does the concept of Ijmaa' ( togetherness 7:18) convey similar meaning for Jumua 62:9? Is not the Yawmul Jumua a concept of Baina Aidihim- the previous people? If so, rush to Salat (concept to be clarified later) will be against the gathering and togetherness. I understand, I may be wrong or trying to go little ahead, however, I am trying to clarify to understand the concept better. As I am listening again and again and crisscrossing all similar words and Ayats, I am curios and trying to grasp as best as I can. If it's a too early call, give me some hints please, so that I can relate and understand. Am I thinking correct? Jazakallah. -Zil Qaosain
Straight line	2021-11-03T15:06:41Z	This is a very big and dangerous dawah you are giving, Allah made Islam easy to understand and not ambiguous, but if I was to entertain your point of view I'd basically have to reject every hadiths I know and also bring innovation ( bida). Innovation because when I translate the Quran in English, french, and another language, there's no unambiguous statement from the Quran which support your view. Allahu Allam
Ian Saeed	2021-11-02T02:03:42Z	Again, kindly expect the subtitling to as many different languages as possible the each of your video is enabled so that more and more muslims around the world can benefit from your explanation. Thank you.
Khalid Yassine	2021-10-31T17:37:40Z	Original But.... Interesting views about primary concepts in Quran. I have a question though : If Jinn has nothing to do with beings, how can we undertsand excerpts from : - Sourate al Jinn (nafaroun mina al jinn)? - Arrahmane (Ya ma'chara al insi wal jinni) ?
naela faiz	2021-10-31T15:46:03Z	Speechless
Stone Gold	2021-10-31T12:27:56Z	nice explanation but still not correct ,how can you explain surah rehman?How you explain these aya? وَخَلَقَ ٱلْجَآنَّ مِن مَّارِجٍۢ مِّن نَّارٍۢ سَنَفْرُغُ لَكُمْ أَيُّهَا الثَّقَلانِ لَمۡ یَطۡمِثۡہُنَّ اِنۡسٌ قَبۡلَہُمۡ وَ لَا جَآنٌّ and the question is how come only you understand the quran this way? also what about these aya about hawaa فَوَسْوَسَ لَهُمَا الشَّيْطَانُ لِيُبْدِيَ لَهُمَا مَا وُورِيَ عَنْهُمَا مِنْ سَوْآتِهِمَا وَقَالَ مَا نَهَاكُمَارَبُّكُمَا عَنْ هَٰذِهِ الشَّجَرَةِ إِلَّا -أَنْ تَكُونَا مَلَكَيْنِ أَوْ تَكُونَا مِنَ الْخَالِدِينَ فَدَلَّاهُمَا بِغُرُورٍ ۚ فَلَمَّا ذَاقَا الشَّجَرَة َ بَدَتْ لَهُمَا سَوْآتُهُمَا وَطَفِقَا يَخْصِفَانِ عَلَيْهِمَا مِنْ وَرَقِ الْجَنَّةِ ۖ وَنَادَاهُمَا رَبُّهُمَا أَلَمْ أَنْهَكُمَا عَنْ تِلْكُمَا الشَّجَرَةِ وَأَقُلْ لَكُمَا إِنَّ الشَّيْطَانَ لَكُمَاعَدُوٌّ مُبِينٌ
Sultan Kulbassov	2021-10-30T20:18:27Z	Question: If Prophet Muhammad never would add details to the Quran how can we accept that he himself said that he is the one who lighted the fire??????
EmeraldDiamond3	2021-10-29T23:00:43Z	So essentially anyone who said they saw another creation (jinn) is lying or crazy? Everyone ? And all the legit imam who specialize in that area are liars and cheaters??? They are all lying. That’s a reach my brother.
Adam Ifrene	2021-10-28T12:55:57Z	Al Salamu Alaikum, 2:00:02 Here when you talk about the verse in aya in Surah Waqiah, I believe you fail to mention the context in which the word سموم was mentioned. In the preceding ayat Allah describes heaven for the faithful and in the following ayat Allah is clearly describing hell as a fate for the wrongdoers. This is as clear as the sun so I wonder why and how you could bring this verse in totally out of context ??
Sultan Kulbassov	2021-10-27T22:26:10Z	35:42 Question 1: how come it can be understood as skies and earth whereas it is not samawaat but it is samaawaat? Question 2: What about those who reject? They don't praise God?
baba blacksheep	2021-10-26T18:36:59Z	ali baba religion
Mohamoud samater	2021-10-25T23:41:43Z	jazaka Allah for your da'wah
T Seward	2021-10-24T21:28:57Z	Who agrees with you? This is something only you understand no one else ever has for over 1400 years?
Khaled El Nazer	2021-10-24T14:02:26Z	Actually Angel in Arabic is Malak (ملاك). If you go to the root word in old Arabic it comes from the word Uluk أٌلٌك meaning message and hence Ma'alak (مألك) means messenger which was later changed to Malak (ملاك). The point here is that Angel or Malak is not a species but rather a job description (messenger) so there is no conflict between Iblees being a Jinn and a messenger (Angel) except in Judeo-Christian theology because the root meaning of the word Angel is lost. Hopefully you will also define the difference between Iblees (a real persona) and Shaytaan or Satan who is not a person or species but rather a behavior very much like criminal is a behavior not a person.
Ali Mirzamani	2021-10-24T09:30:49Z	I wish you would have talked about the difference between iblees and shaytan.
Khalid J.Yusuf	2021-10-23T17:01:52Z	Great interpretations lands in heart and mind clearly . God be with you .
Musabber Islam	2021-10-22T05:30:32Z	I think although he was very detail in terms of counterpart and clear but after that he was moving other direction.First of all Jinn is real and it’s Unseen And Allah clear it in 2:30 in Quran when Angels are debating regarding the justification of create another and refer to the consequences of earlier creation.Also 14:55 Allah subhanAllah confirm that He Created Jinn so its separate species.
manifestasisanubari	2021-10-21T13:06:00Z	Interesting theory but jinn as not a separate creature seems contradicting the jinns in sura Al-Anbiya' where Solomon has dominions over humankind and jinn, also the entirety of sura Al-Jinn himself where they (jinn) themselves talked about how they used to look up on the skies above for knowing the future, but now they can't. So I guess, I'm not agreeing with you but maybe you have an answer for this. Can't wait to hear if there is any
exhale inhale	2021-10-21T12:52:52Z	Hello Dr, Why was Iblees warned with Adam to avoid been zaalimeens? “Zawjuka” . Is being a zalimeen not part of Iblees’s character/attributes?
Be Humble	2021-10-19T09:25:47Z	Salaam, Please take all the versets related to Jinns, sorcery,black magic and read it in context. Jinns are separated being. Just like God say He will show us His signs within ourselves and upon horizon until it become clear that it (Quran)is the truth. You are based on your own interpretation of the versets I'm not sure you pay attention to the signs upon the horizon,if you never experienced Jinns issues you won't understand Jinns world,you won't believe Jinns are separated being and this is part of Jinn deception, manipulation. Please keep praying and doing your research,you may also consider traveling to other places if you never experienced Jinns where you are living, Africa or China will be some of the country I suggested you,Glory to God people like us who know nothing about Arabic languages we are guided by God through signs, witness, personal experiences, therefore those who seek to confuse and deceive people can't deceive us, Glory to God Almighty.
championkila x	2021-10-18T22:37:02Z	What about the jinn that listened to the Quran and became belivers , what about the jinn who sat at great heights but can no longer due to a bolt of fire , what about the jinn that eat from bones refleshed ?
Allan H	2021-10-18T16:30:55Z	I think you are working with Iblees to misguide people. You mix truth with falsehood very well I must say, but In Sha Allah not too many will fall for your deception. Jinn are clearly another created species. The first half of the video seemed logical and nothing not already known. you are very arrogant to assume that others haven't thought as you have on some deep issues. But then denying that Jinn are not a separate created species exposed you
exhale inhale	2021-10-18T10:55:11Z	Hello Dr Hany. Thanks so much for sharing your Aelm. Each time I want to know more. My questions are without prejudice, but for curiosity and getting clearance. 1. If iblees is not to adhere to every command cos he was in accordance with amr... Yet, he was among those who denied/ covered the truth. These are conflicting. Pls further explain with analogy. 2. What was his disposition and where do we get that from the Quran Dr Hany?
Dynamic Traders	2021-10-17T10:25:17Z	2:13:16 Sir, thanks you are making it too easy and beautiful to follow Quran and Sunnah mashAllah loving it.
Dynamic Traders	2021-10-17T10:00:14Z	Imam Ghazali R.a clearly defined this concept in his book mujarbate Imam ghazali. Everyone who is born is born with 5 things. 1. Jism 2. 2 angels 3. Hamzad 4. Iblees/shatan 5. Rooh Beautiful discreption loved every part of it subhanAllah he wabihamdihi subhanAllah hil azeem subhanAllah wabihamdihi Astaghfiullah.
Dynamic Traders	2021-10-17T07:55:42Z	Aqal ki had sy parin band e momin ky liya Lazat e shoq bhi hy aur naymate didar bhi hy. Allama Iqbal r.a This means Beyond the borders of intellect for true momin there is a taste indelgence and blessing of seeing.
Dynamic Traders	2021-10-17T06:16:54Z	12:43 Sir, can those many be 124000 and plus Ambiaa akram. Which can mean that the divine lexicon taught to them was the cause for angels and jinn to prostrate.
mansoor abbasi	2021-10-15T20:18:56Z	Assalamualaiku, Dr. Hani. Can you please explain what is naarussamum with regards to creation of jins. Thanks
Andy A	2021-10-14T20:28:14Z	Dr Hany, I am a Quranic Scholar, I reject Biographies/HADITH/MAMBO JUMBO, This is my gift to you and whom ever reads this, you Keep saying ALLAH THIS ALLAH THAT WHILE SPEAKING ENGLISH , OR IBLIS, OR Shitan or Jahanem,people don't know what they mean, those are Arabic words that confuse the none Arabic spoken individuals, is'nt bad enough that they think and teach in their schools that ALLAH IS THE DEVIL he not GOD, or Allah IS SOME GUY THAT Muslims WARSHIP, We are helping them with the notion that there is Allah other than the true God we warship. Just stop and think, the Muslim greeting in Arabic Asslamu Alikum is nothing but HELLO, GREETINGS, HI THERE!!! THAT'S what SALAM means. Muslims translated it into English gave it a totally BAZAAR translation, Because SALAM means Hello, SILM means PEACE, so, in order for may peace be upon you to be a correct English translation by Muslims, the Arabic greeting must be and should be AS SILM ALIKUM. I just wished this nation wakes up and pays attention to the damage and miss representations of Islam. ALSO, why is it so important using Arabic greetings when you're speaking different languages, I know people are proud to be Muslims, I certainly Iam, BUT, still mixing and miss representing words and meanings is not Islamic. God tells us to be kind and gentle.
Raheel Khan	2021-10-13T13:20:22Z	I do not agree of your explanation that iblees was not among the angels, Quran language is arabi mubeen so please do not pull out ambiguous meaning, if it's said to Angels to prostate before Adam & all obeyed except iblees, it clearly means he was ordered too but he denied, God addressed to angels only if he wasn't among them then what's the point to question??
bhq9767	2021-10-13T10:14:57Z	Do you plan to do Tafseer for the whole surah Jinn?
Ryaan	2021-10-13T03:02:59Z	then, what about surah Jinn? If they weren't seperate creatures how could they be swarming the prophet pbuh and then returning to their people, and how do jinn then, reach the lowest heaven? How can you explain the fact that soothsayers can sometimes 'tell' the future except through Jinn? What is black magic then? What about the Jinn that were working for Solomon?
izzy hassan	2021-10-12T22:22:34Z	have you ever seen iblis?
Samara Fram Ilass Ump	2021-10-12T16:12:38Z	Could you please add Arabic subtitles to your videos? My mom is so interested in your videos but I can only translate so much.
diarfitri	2021-10-12T12:45:16Z	wait..... what?
